?British School	1545  1330,785
Turner  Joseph Mallord William	1828  1241,914
Turner  Joseph Mallord William	1825  502,657
Turner  Joseph Mallord William	1828  1753,2489
Turner  Joseph Mallord William	1828  1505,1118
Turner  Joseph Mallord William	1830  914,1219
Turner  Joseph Mallord William	1835  464,606
Turner  Joseph Mallord William	1835  244,302
Turner  Joseph Mallord William	1805  318,451
Turner  Joseph Mallord William	1830  749,991
Turner  Joseph Mallord William	1827  908,603
Turner  Joseph Mallord William	1796  565,914
Turner  Joseph Mallord William	1795  705,902
Turner  Joseph Mallord William	1840  622,927
Turner  Joseph Mallord William	1844  711,965
Turner  Joseph Mallord William	1825  502,660
Turner  Joseph Mallord William	1828  489,403
Turner  Joseph Mallord William	1822  495,537
Turner  Joseph Mallord William	1840  794,787
Turner  Joseph Mallord William	1828  419,521
Turner  Joseph Mallord William	1823  902,1213
Turner  Joseph Mallord William	1838  914,1197
Turner  Joseph Mallord William	1844  727,983
Turner  Joseph Mallord William	1840  787,794
Turner  Joseph Mallord William	1832  921,705
Turner  Joseph Mallord William	1828  1499,2496
Turner  Joseph Mallord William	1832  171,210
Turner  Joseph Mallord William	1833  146,197
Turner  Joseph Mallord William	1832  79,149
Turner  Joseph Mallord William	1839  140,187
Turner  Joseph Mallord William	1840  244,368
Turner  Joseph Mallord William	1833  184,140
Turner  Joseph Mallord William	1826  137,187
Turner  Joseph Mallord William	1826  280,400
Turner  Joseph Mallord William	1834  86,140
Turner  Joseph Mallord William	1840  911,1226
Turner  Joseph Mallord William	1835  902,1213
Turner  Joseph Mallord William	1807  902,1219
Turner  Joseph Mallord William	1840  1022,1422
Turner  Joseph Mallord William	1845  724,1130
Turner  Joseph Mallord William	1844  908,1213
Turner  Joseph Mallord William	1845  724,1133
Turner  Joseph Mallord William	1835  994,1416
Turner  Joseph Mallord William	1805  479,711
Turner  Joseph Mallord William	1835  914,1219
Turner  Joseph Mallord William	1840  914,1216
Turner  Joseph Mallord William	1806  214,254
Turner  Joseph Mallord William	1800  391,606
Turner  Joseph Mallord William	1835  1213,905
Turner  Joseph Mallord William	1827  607,777
Turner  Joseph Mallord William	1827  603,981
Turner  Joseph Mallord William	1827  603,908
Turner  Joseph Mallord William	1827  603,892
Turner  Joseph Mallord William	1827  603,987
Turner  Joseph Mallord William	1822  600,848
Turner  Joseph Mallord William	1827  600,937
Turner  Joseph Mallord William	1827  594,870
Turner  Joseph Mallord William	1827  603,921
Turner  Joseph Mallord William	1820  318,610
Turner  Joseph Mallord William	1807  1219,914
Turner  Joseph Mallord William	1827  603,997
Turner  Joseph Mallord William	1827  603,1019
Turner  Joseph Mallord William	1827  600,886
Turner  Joseph Mallord William	1827  603,845
Turner  Joseph Mallord William	1827  606,794
Turner  Joseph Mallord William	1802  362,641
Turner  Joseph Mallord William	1827  603,1022
Turner  Joseph Mallord William	1827  600,892
Turner  Joseph Mallord William	1807  216,282
Turner  Joseph Mallord William	1840  597,952
Turner  Joseph Mallord William	1840  604,950
Turner  Joseph Mallord William	1822  752,921
Turner  Joseph Mallord William	1825  679,918
Turner  Joseph Mallord William	1822  686,918
Turner  Joseph Mallord William	1822  746,918
Turner  Joseph Mallord William	1806  851,1162
Turner  Joseph Mallord William	1805  860,1162
Turner  Joseph Mallord William	1806  883,1200
Turner  Joseph Mallord William	1806  857,1162
Turner  Joseph Mallord William	1806  854,1156
Turner  Joseph Mallord William	1806  857,1168
Turner  Joseph Mallord William	1827  635,1397
Turner  Joseph Mallord William	1806  845,1165
Turner  Joseph Mallord William	1806  854,1158
Turner  Joseph Mallord William	1806  610,914
Turner  Joseph Mallord William	1806  879,1184
Turner  Joseph Mallord William	1806  905,1165
Turner  Joseph Mallord William	1806  857,1200
Turner  Joseph Mallord William	1806  879,1206
Turner  Joseph Mallord William	1805  867,1210
Turner  Joseph Mallord William	1805  368,737
Turner  Joseph Mallord William	1805  371,737
Turner  Joseph Mallord William	1807  371,737
Turner  Joseph Mallord William	1805  321,737
Turner  Joseph Mallord William	1807  368,737
Turner  Joseph Mallord William	1807  365,737
Turner  Joseph Mallord William	1840  914,1222
Turner  Joseph Mallord William	1807  356,660
Turner  Joseph Mallord William	1807  276,737
Turner  Joseph Mallord William	1805  156,187
Turner  Joseph Mallord William	1805  254,197
Turner  Joseph Mallord William	1805  222,556
Turner  Joseph Mallord William	1807  298,349
Turner  Joseph Mallord William	1807  200,368
Turner  Joseph Mallord William	1807  187,260
Turner  Joseph Mallord William	1805  203,349
Turner  Joseph Mallord William	1807  206,165
Turner  Joseph Mallord William	1807  295,352
Turner  Joseph Mallord William	1844  902,1206
Turner  Joseph Mallord William	1835  905,1210
Turner  Joseph Mallord William	1827  698,1359
Turner  Joseph Mallord William	1828  711,1365
Turner  Joseph Mallord William	1825  597,800
Turner  Joseph Mallord William	1827  321,502
Turner  Joseph Mallord William	1827  445,737
Turner  Joseph Mallord William	1827  460,603
Turner  Joseph Mallord William	1827  464,616
Turner  Joseph Mallord William	1827  451,610
Turner  Joseph Mallord William	1827  305,486
Turner  Joseph Mallord William	1827  298,489
Turner  Joseph Mallord William	1827  457,610
Turner  Joseph Mallord William	1827  464,724
Turner  Joseph Mallord William	1830  905,1210
Turner  Joseph Mallord William	1845  914,1219
Turner  Joseph Mallord William	1827  902,1232
Turner  Joseph Mallord William	1827  913,1219
Turner  Joseph Mallord William	1840  908,1219
Turner  Joseph Mallord William	1845  908,1219
Turner  Joseph Mallord William	1840  921,1226
Turner  Joseph Mallord William	1830  667,819
Turner  Joseph Mallord William	1825  1473,2388
Turner  Joseph Mallord William	1798  152,232
Turner  Joseph Mallord William	1810  1283,1740
Turner  Joseph Mallord William	1807  392,590
Turner  Joseph Mallord William	1809  905,1203
Turner  Joseph Mallord William	1828  654,1346
Turner  Joseph Mallord William	1828  600,1457
Turner  Joseph Mallord William	1835  1714,2203
Turner  Joseph Mallord William	1808  914,1219
Turner  Joseph Mallord William	1850  914,1219
Turner  Joseph Mallord William	1850  899,1203
Turner  Joseph Mallord William	1850  902,1206
Turner  Joseph Mallord William	1800  908,1213
Turner  Joseph Mallord William	1846  787,787
Turner  Joseph Mallord William	1846  791,791
Turner  Joseph Mallord William	1846  921,1226
Turner  Joseph Mallord William	1846  899,1200
Turner  Joseph Mallord William	1846  902,1206
Turner  Joseph Mallord William	1845  911,1219
Turner  Joseph Mallord William	1846  616,924
Turner  Joseph Mallord William	1845  613,921
Turner  Joseph Mallord William	1845  610,918
Turner  Joseph Mallord William	1844  622,927
Turner  Joseph Mallord William	1844  613,921
Turner  Joseph Mallord William	1844  914,1232
Turner  Joseph Mallord William	1843  616,921
Turner  Joseph Mallord William	1843  622,927
Turner  Joseph Mallord William	1843  1127,2007
Turner  Joseph Mallord William	1843  787,787
Turner  Joseph Mallord William	1843  787,781
Turner  Joseph Mallord William	1842  914,1219
Turner  Joseph Mallord William	1842  794,794
Turner  Joseph Mallord William	1842  870,867
Turner  Joseph Mallord William	1840  686,914
Turner  Joseph Mallord William	1840  654,813
Turner  Joseph Mallord William	1840  787,787
Turner  Joseph Mallord William	1839  914,1219
Turner  Joseph Mallord William	1838  1930,1651
Turner  Joseph Mallord William	1837  1099,1988
Turner  Joseph Mallord William	1828  895,1238
Turner  Joseph Mallord William	1844  1321,2019
Turner  Joseph Mallord William	1832  918,708
Turner  Joseph Mallord William	1832  1422,2483
Turner  Joseph Mallord William	1831  400,692
Turner  Joseph Mallord William	1828  1737,2489
Turner  Joseph Mallord William	1831  1372,2464
Turner  Joseph Mallord William	1828  914,1232
Turner  Joseph Mallord William	1829  1308,1749
Turner  Joseph Mallord William	1828  1219,899
Turner  Joseph Mallord William	1828  1473,2261
Turner  Joseph Mallord William	1823  1454,2375
Turner  Joseph Mallord William	1826  1457,2363
Turner  Joseph Mallord William	1820  1772,3353
Turner  Joseph Mallord William	1819  1800,3346
Turner  Joseph Mallord William	1819  1753,2464
Turner  Joseph Mallord William	1818  1473,2388
Turner  Joseph Mallord William	1817  1702,2388
Turner  Joseph Mallord William	1815  1930,1651
Turner  Joseph Mallord William	1809  889,1194
Turner  Joseph Mallord William	1814  1485,2410
Turner  Joseph Mallord William	1814  1460,2372
Turner  Joseph Mallord William	1805  1429,2356
Turner  Joseph Mallord William	1813  1137,1746
Turner  Joseph Mallord William	1809  902,1210
Turner  Joseph Mallord William	1812  1460,2375
Turner  Joseph Mallord William	1810  902,1200
Turner  Joseph Mallord William	1811  1454,2375
Turner  Joseph Mallord William	1809  612,765
Turner  Joseph Mallord William	1809  1019,1302
Turner  Joseph Mallord William	1806  1016,1302
Turner  Joseph Mallord William	1812  911,1206
Turner  Joseph Mallord William	1809  902,1200
Turner  Joseph Mallord William	1809  552,791
Turner  Joseph Mallord William	1807  1714,2337
Turner  Joseph Mallord William	1806  1708,2388
Turner  Joseph Mallord William	1807  549,778
Turner  Joseph Mallord William	1806  1553,2184
Turner  Joseph Mallord William	1805  1705,2416
Turner  Joseph Mallord William	1798  241,324
Turner  Joseph Mallord William	1805  1460,2375
Turner  Joseph Mallord William	1803  1022,1416
Turner  Joseph Mallord William	1802  902,1197
Turner  Joseph Mallord William	1802  1435,2362
Turner  Joseph Mallord William	1798  302,194
Turner  Joseph Mallord William	1800  321,445
Turner  Joseph Mallord William	1809  613,838
Turner  Joseph Mallord William	1799  581,727
Turner  Joseph Mallord William	1802  438,540
Turner  Joseph Mallord William	1808  921,1219
Turner  Joseph Mallord William	1798  765,984
Turner  Joseph Mallord William	1808  908,1213
Turner  Joseph Mallord William	1798  1229,899
Turner  Joseph Mallord William	1798  889,1194
Turner  Joseph Mallord William	1797  314,403
Turner  Joseph Mallord William	1799  743,584
Turner  Joseph Mallord William	1842  616,927
Turner  Joseph Mallord William	1834  1041,1638
Turner  Joseph Mallord William	1833  511,816
Turner  Joseph Mallord William	1832  902,1200
Turner  Joseph Mallord William	1812  110,178
Turner  Joseph Mallord William	1830  120,203
Turner  Joseph Mallord William	1816  155,95
Turner  Joseph Mallord William	1831  155,92
Turner  Joseph Mallord William	1816  89,110
Turner  Joseph Mallord William	1807  69,112
Turner  Joseph Mallord William	1809  189,235
Turner  Joseph Mallord William	1815  102,160
Turner  Joseph Mallord William	1811  200,324
Turner  Joseph Mallord William	1809  126,201
Turner  Joseph Mallord William	1808  93,122
Turner  Joseph Mallord William	1810  87,117
Turner  Joseph Mallord William	1808  87,117
Turner  Joseph Mallord William	1808  117,87
Turner  Joseph Mallord William	1811  93,122
Turner  Joseph Mallord William	1813  88,113
Turner  Joseph Mallord William	1814  90,152
Turner  Joseph Mallord William	1811  170,209
Turner  Joseph Mallord William	1811  117,75
Turner  Joseph Mallord William	1811  75,117
Turner  Joseph Mallord William	1819  100,99
Turner  Joseph Mallord William	1802  128,114
Turner  Joseph Mallord William	1817  232,328
Turner  Joseph Mallord William	1810  223,279
Turner  Joseph Mallord William	1819  113,189
Turner  Joseph Mallord William	1819  255,404
Turner  Joseph Mallord William	1830  191,248
Turner  Joseph Mallord William	1802  112,187
Turner  Joseph Mallord William	1824  99,162
Turner  Joseph Mallord William	1805  117,182
Turner  Joseph Mallord William	1824  160,235
Turner  Joseph Mallord William	1817  56,106
Turner  Joseph Mallord William	1824  220,291
Turner  Joseph Mallord William	1833  184,113
Turner  Joseph Mallord William	1842  235,325
Turner  Joseph Mallord William	1843  241,297
Turner  Joseph Mallord William	1806  183,260
Turner  Joseph Mallord William	1807  187,118
Turner  Joseph Mallord William	1805  114,184
Turner  Joseph Mallord William	1798  174,125
Turner  Joseph Mallord William	1798  131,95
Turner  Joseph Mallord William	1794  181,111
Turner  Joseph Mallord William	1801  182,114
Turner  Joseph Mallord William	1819  114,185
Turner  Joseph Mallord William	1819  403,255
Turner  Joseph Mallord William	1819  255,403
Turner  Joseph Mallord William	1822  257,178
Turner  Joseph Mallord William	1840  198,126
Turner  Joseph Mallord William	1819  253,200
Turner  Joseph Mallord William	1819  200,253
Turner  Joseph Mallord William	1817  202,265
Turner  Joseph Mallord William	1811  182,222
Turner  Joseph Mallord William	1811  181,222
Turner  Joseph Mallord William	1811  180,222
Turner  Joseph Mallord William	1811  222,180
Turner  Joseph Mallord William	1811  222,183
Turner  Joseph Mallord William	1811  222,181
Turner  Joseph Mallord William	1811  222,182
Turner  Joseph Mallord William	1811  140,215
Turner  Joseph Mallord William	1811  142,215
Turner  Joseph Mallord William	1811  141,215
Turner  Joseph Mallord William	1811  139,215
Turner  Joseph Mallord William	1811  138,215
Turner  Joseph Mallord William	1811  215,140
Turner  Joseph Mallord William	1811  215,139
Turner  Joseph Mallord William	1799  330,228
Turner  Joseph Mallord William	1804  335,433
Turner  Joseph Mallord William	1799  335,433
Turner  Joseph Mallord William	1821  123,118
Turner  Joseph Mallord William	1798  266,171
Turner  Joseph Mallord William	1795  264,204
Turner  Joseph Mallord William	1795  204,264
Turner  Joseph Mallord William	1828  71,88
Turner  Joseph Mallord William	1824  118,75
Turner  Joseph Mallord William	1845  74,116
Turner  Joseph Mallord William	1845  72,111
Turner  Joseph Mallord William	1830  96,59
Turner  Joseph Mallord William	1831  59,96
Turner  Joseph Mallord William	1831  96,59
Turner  Joseph Mallord William	1817  88,110
Turner  Joseph Mallord William	1845  76,98
Turner  Joseph Mallord William	1835  190,118
Turner  Joseph Mallord William	1833  159,99
Turner  Joseph Mallord William	1837  198,127
Turner  Joseph Mallord William	1834  79,101
Turner  Joseph Mallord William	1839  156,100
Turner  Joseph Mallord William	1844  155,100
Turner  Joseph Mallord William	1835  159,100
Turner  Joseph Mallord William	1833  165,110
Turner  Joseph Mallord William	1836  148,104
Turner  Joseph Mallord William	1836  104,148
Turner  Joseph Mallord William	1839  163,100
Turner  Joseph Mallord William	1839  165,100
Turner  Joseph Mallord William	1836  113,190
Turner  Joseph Mallord William	1833  113,185
Turner  Joseph Mallord William	1845  86,111
Turner  Joseph Mallord William	1837  90,113
Turner  Joseph Mallord William	1834  90,117
Turner  Joseph Mallord William	1832  206,86
Turner  Joseph Mallord William	1844  116,106
Turner  Joseph Mallord William	1833  170,105
Turner  Joseph Mallord William	1841  175,107
Turner  Joseph Mallord William	1841  138,82
Turner  Joseph Mallord William	1841  181,111
Turner  Joseph Mallord William	1844  170,109
Turner  Joseph Mallord William	1831  158,101
Turner  Joseph Mallord William	1840  170,104
Turner  Joseph Mallord William	1834  90,116
Turner  Joseph Mallord William	1837  171,111
Turner  Joseph Mallord William	1835  170,104
Turner  Joseph Mallord William	1828  125,171
Turner  Joseph Mallord William	1840  173,123
Turner  Joseph Mallord William	1837  159,102
Turner  Joseph Mallord William	1833  203,109
Turner  Joseph Mallord William	1832  86,111
Turner  Joseph Mallord William	1829  89,113
Turner  Joseph Mallord William	1829  113,89
Turner  Joseph Mallord William	1841  173,73
Turner  Joseph Mallord William	1832  184,72
Turner  Joseph Mallord William	1841  165,74
Turner  Joseph Mallord William	1835  146,103
Turner  Joseph Mallord William	1836  190,113
Turner  Joseph Mallord William	1839  140,235
Turner  Joseph Mallord William	1834  154,94
Turner  Joseph Mallord William	1834  145,235
Turner  Joseph Mallord William	1839  168,101
Turner  Joseph Mallord William	1831  116,186
Turner  Joseph Mallord William	1832  113,189
Turner  Joseph Mallord William	1831  125,201
Turner  Joseph Mallord William	1831  201,125
Turner  Joseph Mallord William	1829  156,107
Turner  Joseph Mallord William	1831  114,187
Turner  Joseph Mallord William	1831  115,187
Turner  Joseph Mallord William	1832  114,187
Turner  Joseph Mallord William	1826  133,91
Turner  Joseph Mallord William	1832  174,117
Turner  Joseph Mallord William	1828  179,113
Turner  Joseph Mallord William	1831  74,94
Turner  Joseph Mallord William	1823  74,100
Turner  Joseph Mallord William	1828  113,190
Turner  Joseph Mallord William	1830  68,110
Turner  Joseph Mallord William	1830  114,182
Turner  Joseph Mallord William	1829  126,75
Turner  Joseph Mallord William	1827  110,68
Turner  Joseph Mallord William	1830  110,68
Turner  Joseph Mallord William	1831  191,114
Turner  Joseph Mallord William	1828  144,90
Turner  Joseph Mallord William	1834  113,195
Turner  Joseph Mallord William	1834  190,113
Turner  Joseph Mallord William	1834  183,113
Turner  Joseph Mallord William	1830  203,120
Turner  Joseph Mallord William	1828  159,98
Turner  Joseph Mallord William	1826  153,103
Turner  Joseph Mallord William	1831  163,104
Turner  Joseph Mallord William	1831  104,163
Turner  Joseph Mallord William	1835  155,92
Turner  Joseph Mallord William	1837  161,97
Turner  Joseph Mallord William	1840  149,89
Turner  Joseph Mallord William	1835  162,89
Turner  Joseph Mallord William	1831  153,91
Turner  Joseph Mallord William	1831  91,153
Turner  Joseph Mallord William	1827  112,192
Turner  Joseph Mallord William	1825  113,189
Turner  Joseph Mallord William	1827  110,185
Turner  Joseph Mallord William	1828  145,111
Turner  Joseph Mallord William	1828  179,117
Turner  Joseph Mallord William	1828  143,97
Turner  Joseph Mallord William	1831  113,183
Turner  Joseph Mallord William	1831  182,111
Turner  Joseph Mallord William	1820  98,128
Turner  Joseph Mallord William	1820  128,98
Turner  Joseph Mallord William	1825  155,95
Turner  Joseph Mallord William	1819  114,94
Turner  Joseph Mallord William	1820  114,94
Turner  Joseph Mallord William	1819  115,94
Turner  Joseph Mallord William	1825  113,187
Turner  Joseph Mallord William	1823  111,185
Turner  Joseph Mallord William	1822  111,188
Turner  Joseph Mallord William	1820  111,188
Turner  Joseph Mallord William	1821  113,189
Turner  Joseph Mallord William	1825  114,188
Turner  Joseph Mallord William	1823  100,160
Turner  Joseph Mallord William	1823  103,167
Turner  Joseph Mallord William	1819  121,195
Turner  Joseph Mallord William	1819  195,121
Turner  Joseph Mallord William	1819  189,113
Turner  Joseph Mallord William	1819  113,190
Turner  Joseph Mallord William	1819  187,120
Turner  Joseph Mallord William	1819  114,189
Turner  Joseph Mallord William	1819  17,119
Turner  Joseph Mallord William	1819  127,200
Turner  Joseph Mallord William	1819  197,122
Turner  Joseph Mallord William	1819  122,197
Turner  Joseph Mallord William	1819  116,190
Turner  Joseph Mallord William	1818  112,90
Turner  Joseph Mallord William	1818  90,112
Turner  Joseph Mallord William	1818  90,117
Turner  Joseph Mallord William	1817  119,87
Turner  Joseph Mallord William	1817  87,119
Turner  Joseph Mallord William	1819  184,110
Turner  Joseph Mallord William	1819  110,186
Turner  Joseph Mallord William	1819  183,110
Turner  Joseph Mallord William	1819  111,192
Turner  Joseph Mallord William	1819  112,183
Turner  Joseph Mallord William	1819  112,186
Turner  Joseph Mallord William	1817  116,185
Turner  Joseph Mallord William	1817  116,188
Turner  Joseph Mallord William	1818  112,184
Turner  Joseph Mallord William	1818  112,193
Turner  Joseph Mallord William	1817  69,103
Turner  Joseph Mallord William	1811  122,75
Turner  Joseph Mallord William	1807  112,69
Turner  Joseph Mallord William	1810  69,112
Turner  Joseph Mallord William	1814  69,112
Turner  Joseph Mallord William	1808  69,112
Turner  Joseph Mallord William	1819  111,184
Turner  Joseph Mallord William	1819  112,185
Turner  Joseph Mallord William	1819  111,186
Turner  Joseph Mallord William	1818  177,256
Turner  Joseph Mallord William	1818  178,257
Turner  Joseph Mallord William	1816  179,254
Turner  Joseph Mallord William	1814  179,254
Turner  Joseph Mallord William	1815  160,102
Turner  Joseph Mallord William	1815  161,99
Turner  Joseph Mallord William	1810  181,228
Turner  Joseph Mallord William	1811  181,228
Turner  Joseph Mallord William	1809  181,228
Turner  Joseph Mallord William	1816  173,260
Turner  Joseph Mallord William	1816  149,93
Turner  Joseph Mallord William	1815  160,112
Turner  Joseph Mallord William	1819  378,233
Turner  Joseph Mallord William	1819  229,368
Turner  Joseph Mallord William	1815  88,114
Turner  Joseph Mallord William	1818  112,89
Turner  Joseph Mallord William	1808  89,110
Turner  Joseph Mallord William	1808  89,112
Turner  Joseph Mallord William	1816  154,97
Turner  Joseph Mallord William	1816  97,154
Turner  Joseph Mallord William	1816  154,96
Turner  Joseph Mallord William	1816  125,206
Turner  Joseph Mallord William	1816  125,200
Turner  Joseph Mallord William	1816  129,205
Turner  Joseph Mallord William	1814  119,82
Turner  Joseph Mallord William	1814  95,157
Turner  Joseph Mallord William	1814  178,110
Turner  Joseph Mallord William	1811  166,208
Turner  Joseph Mallord William	1813  113,88
Turner  Joseph Mallord William	1809  62,83
Turner  Joseph Mallord William	1799  175,110
Turner  Joseph Mallord William	1801  158,98
Turner  Joseph Mallord William	1808  98,162
Turner  Joseph Mallord William	1809  180,107
Turner  Joseph Mallord William	1806  107,180
Turner  Joseph Mallord William	1806  201,128
Turner  Joseph Mallord William	1801  255,164
Turner  Joseph Mallord William	1802  156,241
Turner  Joseph Mallord William	1802  160,247
Turner  Joseph Mallord William	1802  138,215
Turner  Joseph Mallord William	1802  222,138
Turner  Joseph Mallord William	1802  201,156
Turner  Joseph Mallord William	1802  156,201
Turner  Joseph Mallord William	1801  206,130
Turner  Joseph Mallord William	1799  166,82
Turner  Joseph Mallord William	1801  115,162
Turner  Joseph Mallord William	1801  164,117
Turner  Joseph Mallord William	1799  150,123
Turner  Joseph Mallord William	1799  131,78
Turner  Joseph Mallord William	1797  113,93
Turner  Joseph Mallord William	1796  126,108
Turner  Joseph Mallord William	1796  126,106
Turner  Joseph Mallord William	1796  115,130
Turner  Joseph Mallord William	1795  130,205
Turner  Joseph Mallord William	1795  132,210
Turner  Joseph Mallord William	1794  99,152
Turner  Joseph Mallord William	1794  131,99
Turner  Joseph Mallord William	1794  111,181
Turner  Joseph Mallord William	1794  113,185
Turner  Joseph Mallord William	1809  116,185
Turner  Joseph Mallord William	1821  115,187
Turner  Joseph Mallord William	1789  160,249
Turner  Joseph Mallord William	1789  160,250
Turner  Joseph Mallord William	1791  185,263
Turner  Joseph Mallord William	1807  119,187
Turner  Joseph Mallord William	1801  340,480
Turner  Joseph Mallord William	1801  197,127
Turner  Joseph Mallord William	1824  118,78
Turner  Joseph Mallord William	1819  226,287
Turner  Joseph Mallord William	1808  226,294
Turner  Joseph Mallord William	1808  226,295
Turner  Joseph Mallord William	1844  223,328
Turner  Joseph Mallord William	1818  111,185
Turner  Joseph Mallord William	1816  117,180
Turner  Joseph Mallord William	1816  180,117
Turner  Joseph Mallord William	1816  181,118
Turner  Joseph Mallord William	1816  182,116
Turner  Joseph Mallord William	1816  116,182
Turner  Joseph Mallord William	1805  114,185
Turner  Joseph Mallord William	1805  118,187
Turner  Joseph Mallord William	1805  119,189
Turner  Joseph Mallord William	1805  185,118
Turner  Joseph Mallord William	1803  118,185
Turner  Joseph Mallord William	1806  118,185
Turner  Joseph Mallord William	1820  112,190
Turner  Joseph Mallord William	1826  170,110
Turner  Joseph Mallord William	1822  116,187
Turner  Joseph Mallord William	1822  185,116
Turner  Joseph Mallord William	1821  113,187
Turner  Joseph Mallord William	1818  159,95
Turner  Joseph Mallord William	1818  95,159
Turner  Joseph Mallord William	1818  105,165
Turner  Joseph Mallord William	1817  156,93
Turner  Joseph Mallord William	1819  99,155
Turner  Joseph Mallord William	1819  155,99
Turner  Joseph Mallord William	1819  114,88
Turner  Joseph Mallord William	1819  88,114
Turner  Joseph Mallord William	1819  87,117
Turner  Joseph Mallord William	1828  97,132
Turner  Joseph Mallord William	1809  88,115
Turner  Joseph Mallord William	1809  76,115
Turner  Joseph Mallord William	1808  76,115
Turner  Joseph Mallord William	1817  150,94
Turner  Joseph Mallord William	1809  110,88
Turner  Joseph Mallord William	1806  107,182
Turner  Joseph Mallord William	1807  163,92
Turner  Joseph Mallord William	1807  92,163
Turner  Joseph Mallord William	1806  92,163
Turner  Joseph Mallord William	1800  119,73
Turner  Joseph Mallord William	1800  172,119
Turner  Joseph Mallord William	1800  73,119
Turner  Joseph Mallord William	1801  150,109
Turner  Joseph Mallord William	1808  108,185
Turner  Joseph Mallord William	1805  143,228
Turner  Joseph Mallord William	1805  262,171
Turner  Joseph Mallord William	1805  171,262
Turner  Joseph Mallord William	1806  216,153
Turner  Joseph Mallord William	1806  153,216
Turner  Joseph Mallord William	1808  185,108
Turner  Joseph Mallord William	1832  175,127
Turner  Joseph Mallord William	1819  167,106
Turner  Joseph Mallord William	1819  161,102
Turner  Joseph Mallord William	1819  161,101
Turner  Joseph Mallord William	1819  111,188
Turner  Joseph Mallord William	1819  111,191
Turner  Joseph Mallord William	1807  119,193
Turner  Joseph Mallord William	1807  118,187
Turner  Joseph Mallord William	1806  115,190
Turner  Joseph Mallord William	1805  115,190
Turner  Joseph Mallord William	1809  115,190
Turner  Joseph Mallord William	1805  120,190
Turner  Joseph Mallord William	1805  182,117
Turner  Joseph Mallord William	1798  214,140
Turner  Joseph Mallord William	1799  215,138
Turner  Joseph Mallord William	1819  130,255
Turner  Joseph Mallord William	1813  160,93
Turner  Joseph Mallord William	1816  125,247
Turner  Joseph Mallord William	1813  95,157
Turner  Joseph Mallord William	1813  157,95
Turner  Joseph Mallord William	1819  137,257
Turner  Joseph Mallord William	1798  332,225
Turner  Joseph Mallord William	1805  150,258
Turner  Joseph Mallord William	1805  258,150
Turner  Joseph Mallord William	1804  150,258
Turner  Joseph Mallord William	1797  272,210
Turner  Joseph Mallord William	1795  203,264
Turner  Joseph Mallord William	1795  264,203
Turner  Joseph Mallord William	1797  368,262
Turner  Joseph Mallord William	1827  143,193
Turner  Joseph Mallord William	1843  227,327
Turner  Joseph Mallord William	1792  213,275
Turner  Joseph Mallord William	1799  555,762
Turner  Joseph Mallord William	1829  353,508
Turner  Joseph Mallord William	1843  228,327
Turner  Joseph Mallord William	1826  189,292
Turner  Joseph Mallord William	1826  110,171
Turner  Joseph Mallord William	1827  142,192
Turner  Joseph Mallord William	1795  261,424
Turner  Joseph Mallord William	1830  591,459
Turner  Joseph Mallord William	1826  111,173
Turner  Joseph Mallord William	1845  198,160
Turner  Joseph Mallord William	1826  229,257
Turner  Joseph Mallord William	1826  227,291
Turner  Joseph Mallord William	1831  165,400
Turner  Joseph Mallord William	1805  259,367
Turner  Joseph Mallord William	1809  230,381
Turner  Joseph Mallord William	1809  230,380
Turner  Joseph Mallord William	1807  230,381
Turner  Joseph Mallord William	1805  258,366
Turner  Joseph Mallord William	1805  257,364
Turner  Joseph Mallord William	1796  234,188
Turner  Joseph Mallord William	1795  200,288
Turner  Joseph Mallord William	1797  232,330
Turner  Joseph Mallord William	1796  237,276
Turner  Joseph Mallord William	1797  174,248
Turner  Joseph Mallord William	1794  331,235
Turner  Joseph Mallord William	1792  256,184
Turner  Joseph Mallord William	1793  207,178
Turner  Joseph Mallord William	1830  151,225
Turner  Joseph Mallord William	1841  235,332
Turner  Joseph Mallord William	1826  128,227
Turner  Joseph Mallord William	1842  334,277
Turner  Joseph Mallord William	1830  256,323
Turner  Joseph Mallord William	1821  113,79
Turner  Joseph Mallord William	1820  335,424
Turner  Joseph Mallord William	1820  335,423
Turner  Joseph Mallord William	1831  267,213
Turner  Joseph Mallord William	1816  188,263
Turner  Joseph Mallord William	1810  201,325
Turner  Joseph Mallord William	1810  200,312
Turner  Joseph Mallord William	1810  200,315
Turner  Joseph Mallord William	1812  186,111
Turner  Joseph Mallord William	1809  225,370
Turner  Joseph Mallord William	1805  248,343
Turner  Joseph Mallord William	1807  258,370
Turner  Joseph Mallord William	1794  277,215
Turner  Joseph Mallord William	1793  259,191
Turner  Joseph Mallord William	1792  243,214
Turner  Joseph Mallord William	1791  201,252
Turner  Joseph Mallord William	1797  208,268
Turner  Joseph Mallord William	1798  403,541
Turner  Joseph Mallord William	1829  325,562
Turner  Joseph Mallord William	1799  199,417
Turner  Joseph Mallord William	1798  153,181
Turner  Joseph Mallord William	1798  91,155
Turner  Joseph Mallord William	1794  210,275
Turner  Joseph Mallord William	1797  207,266
Turner  Joseph Mallord William	1797  240,281
Turner  Joseph Mallord William	1798  317,258
Turner  Joseph Mallord William	1796  347,243
Turner  Joseph Mallord William	1796  238,278
Turner  Joseph Mallord William	1798  153,180
